Restaurant_ID,Restaurant_Name,Location,Category,Primary_Cuisine,Estimated_Cost_for_Two_INR,Estimated_Rating,Specialty
1,Masque,Mahalaxmi,Fine Dining,Modern Indian,8000,4.8,Tasting Menus
2,Indian Accent,BKC,Fine Dining,Modern Indian,7500,4.9,Inventive Indian Dishes
3,Wasabi by Morimoto,Colaba,Fine Dining,Japanese,9000,4.7,Sushi & Japanese Grills
4,Tresind,BKC,Fine Dining,Modern Indian,6000,4.6,Theatrical Presentations
5,The Table,Colaba,Fine Dining,"Global, European",5500,4.5,"Farm-to-Table, Small Plates"
6,Hakkasan,Bandra,Fine Dining,Cantonese,6500,4.5,"Modern Cantonese, Cocktails"
7,Yauatcha,BKC,Fine Dining,Cantonese,5000,4.6,Dim Sum
8,Gaa,Bandra,Fine Dining,Modern Indian,7000,4.7,Innovative Tasting Menus
9,Jia Jia,Colaba,Fine Dining,Chinese,4500,4.4,Authentic Chinese
10,San-Qi,Worli,Fine Dining,Pan-Asian,6000,4.5,Multi-Cuisine Asian
11,Britannia & Co.,Ballard Estate,Iconic Cafe,Parsi,1500,4.5,"Berry Pulao, Sali Boti"
12,Leopold Cafe & Bar,Colaba,Iconic Cafe,Multi-Cuisine,2000,4.1,"Lively Ambience, Beer"
13,Trishna,Fort,Iconic Seafood,Seafood,3500,4.6,Butter Garlic Crab
14,Mahesh Lunch Home,Fort,Iconic Seafood,Seafood,3000,4.5,Mangalorean Seafood
15,Gajalee,Vile Parle,Iconic Seafood,Seafood,2800,4.6,"Bombil Fry, Tandoori Crab"
16,Kyani & Co.,Marine Lines,Iconic Cafe,Irani,500,4.2,"Bun Maska, Mawa Cake"
17,Shree Thaker Bhojanalay,Kalbadevi,Traditional,Gujarati,1200,4.7,Authentic Gujarati Thali
18,Bademiya,Colaba,Legendary Street Food,North Indian,1000,4.2,Kebabs & Rolls
19,Cafe Mondegar,Colaba,Iconic Cafe,Multi-Cuisine,1800,4.3,"Jukebox, Mario Miranda Murals"
20,Gaylord,Churchgate,Classic Dining,"Indian, Continental",2500,4.2,"Old-World Charm, Bakery"
21,The Bombay Canteen,Lower Parel,Modern Indian,Indian,3000,4.6,Reimagined Indian Classics
22,O Pedro,BKC,Modern Regional,Goan,3200,4.7,"Modern Goan Food, Cocktails"
23,Burma Burma,Fort,Specialty Cuisine,Burmese,2200,4.8,Khow Suey (Vegetarian)
24,Peshawari,Andheri,Fine Dining,North-West Frontier,5500,4.7,"Dal Bukhara, Kebabs"
25,Dum Pukht,Andheri,Fine Dining,Awadhi,6000,4.6,"Royal Awadhi Cuisine, Biryani"
26,Dakshin Coastal,Andheri,Fine Dining,South Indian,4500,4.5,Coastal South Indian Dishes
27,Soam,Babulnath,Traditional,Gujarati,1100,4.5,Gujarati & Rajasthani (Veg)
28,Diva Maharashtracha,Mahim,Regional Specialty,Maharashtrian,1800,4.4,Authentic Maharashtrian Food
29,Oh! Calcutta,Khar,Regional Specialty,Bengali,2400,4.3,Authentic Bengali Cuisine
30,Jamavar,Andheri,Fine Dining,Indian,5000,4.4,Pan-Indian Royal Cuisine
